date,forecast_volatility
2025-01-01,0.9910379385524383
2025-01-02,0.9910379385524395
2025-01-03,0.9910379385524406
2025-01-04,0.9910379385524417
2025-01-05,0.9910379385524427
2025-01-06,0.9910379385524437
2025-01-07,0.9910379385524446
2025-01-08,0.9910379385524454
2025-01-09,0.9910379385524462
2025-01-10,0.9910379385524469
2025-01-11,0.9910379385524476
2025-01-12,0.9910379385524483
2025-01-13,0.9910379385524489
2025-01-14,0.9910379385524495
2025-01-15,0.99103793855245
2025-01-16,0.9910379385524505
2025-01-17,0.9910379385524509
2025-01-18,0.9910379385524514
2025-01-19,0.9910379385524518
2025-01-20,0.9910379385524521
2025-01-21,0.9910379385524526
2025-01-22,0.9910379385524529
2025-01-23,0.9910379385524533
2025-01-24,0.9910379385524535
2025-01-25,0.9910379385524538
2025-01-26,0.9910379385524541
2025-01-27,0.9910379385524544
2025-01-28,0.9910379385524546
2025-01-29,0.9910379385524548
2025-01-30,0.991037938552455
