date,forecast_volatility_daily,forecast_volatility_annual
2025-06-02,0.33005479394728865,5.239457422855153
2025-06-03,0.3338293687733202,5.29937694062326
2025-06-04,0.33735117713802815,5.355283915212726
2025-06-05,0.3406398891336535,5.407490599657564
2025-06-06,0.34371325511513706,5.456278772106912
2025-06-09,0.3465873494992483,5.501903606016226
2025-06-10,0.34927677529349693,5.5445969169430915
2025-06-11,0.3517948369734677,5.584569906889836
2025-06-12,0.35415368762159416,5.622015500059153
2025-06-13,0.35636445496300795,5.65711034361118
2025-06-16,0.35843734996668414,5.6900165316532325
2025-06-17,0.3603817609398146,5.720883098941682
2025-06-18,0.3622063354713662,5.749847321695609
2025-06-19,0.36391905213487313,5.777035855843343
2025-06-20,0.36552728350996117,5.802565737458148
2025-06-23,0.3670378518043349,5.8265452657299
2025-06-24,0.36845707813624884,5.849074785300052
2025-06-25,0.3697908263592743,5.87024738195825
2025-06-26,0.37104454216700183,5.890149503410235
2025-06-27,0.3722232880979579,5.90886151496367
2025-06-30,0.3733317749649181,5.926458198453017
2025-07-01,0.37437439015368484,5.943009201468709
2025-07-02,0.3753552231709146,5.958579442916336
2025-07-03,0.37627808876611646,5.973229480066986
2025-07-04,0.3771465479074258,5.987015841537338
2025-07-07,0.3779639268525425,5.9999913300314125
2025-07-08,0.3787333345240095,6.012205298164574
2025-07-09,0.37945767837072725,6.0237039002572645
2025-07-10,0.38013967887442174,6.034530322618043
2025-07-11,0.38078188284000253,6.044724994521481
